,date,cluster_0,cluster_1,lagged_cluster_0,lagged_cluster_1,S&P500,NASDAQ,SPY,QQQ,XLK,XLF,XLE,VIX,SP500_ret,NASDAQ_ret,SPY_ret,QQQ_ret,XLK_ret,XLF_ret,XLE_ret,VIX_ret
109,2021-06-16,0.0231172879629935,0.3648609412755024,0.036362402499707,0.1811678747715776,333.0240783691406,399.9624938964844,48.3189811706543,34.74810791015625,137.47093200683594,4223.7001953125,14039.6796875,18.149999618530277,-0.003652123212045999,-0.0055835703164597295,-0.005339030812387846,-0.001073935049136554,-0.005402379338747321,-0.005390124612855707,-0.0023577768295566237,0.06639242834163128
110,2021-06-17,0.0197087987026844,0.1770984386772105,0.0231172879629935,0.3648609412755024,337.2527160644531,399.8298950195313,46.67637252807617,33.72060012817383,139.06130981445312,4221.85986328125,14161.349609375,17.75,0.01269769356023942,-0.00033152827821747444,-0.033995100947528556,-0.02957017932139261,0.01156882974749962,-0.00043571559205179966,0.008666146563395483,-0.022038546938695114
111,2021-06-18,0.0577952548108719,0.2402759955648508,0.0197087987026844,0.1770984386772105,334.6061706542969,394.4360656738281,45.29309844970703,32.9079475402832,137.79090881347656,4166.4501953125,14030.3798828125,20.700000762939453,-0.007847365741156742,-0.013490310286677576,-0.029635423736861566,-0.02409958852457217,-0.009135546060019428,-0.013124468779900589,-0.009248392997500465,0.166197226081096
112,2021-06-21,0.0318973325492414,0.4002360949049537,0.0253908965030114,0.3407044159209125,336.6857604980469,400.0827941894531,47.223262786865234,33.67599868774414,139.26768493652344,4224.7900390625,14141.48046875,17.889999389648438,0.0062150373368294876,0.014315953856751218,0.04261497674532988,0.023339381665196557,0.010717514934500905,0.014002289962720793,0.007918572901479237,-0.13574885360979994
113,2021-06-22,0.0143105839248067,0.2713497370623761,0.0318973325492414,0.4002360949049537,339.82421875,402.2216491699219,47.53767395019531,33.732261657714844,140.53060913085938,4246.43994140625,14253.26953125,16.65999984741211,0.009321624553739749,0.00534603090043384,0.006657972041218763,0.0016707142226839444,0.009068321878916485,0.005124491902218642,0.00790504662839453,-0.06875347032979973
114,2021-06-23,0.0739037328211845,0.2905643818222957,0.0143105839248067,0.2713497370623761,339.9903564453125,401.7368774414063,47.66868591308594,33.79790496826172,140.3751983642578,4241.83984375,14271.73046875,16.31999969482422,0.0004888930398299074,-0.0012052352963000112,0.0027559607360656546,0.0019460097639749652,-0.0011058855260268619,-0.0010832833431588806,0.0012952072125995695,-0.020408172611160347
115,2021-06-24,-0.0111519640703983,0.1926938050492913,0.0739037328211845,0.2905643818222957,342.092529296875,404.1134643554688,48.07916259765625,34.21991729736328,141.25924682617188,4266.490234375,14369.7099609375,15.970000267028809,0.006183036700044164,0.005915779823845391,0.008611034197979262,0.012486345810424071,0.006297753963774078,0.005811249724885448,0.006865284655006576,-0.021446043770847023
116,2021-06-25,0.0265335859447439,0.3759652491401341,-0.0111519640703983,0.1926938050492913,341.6720886230469,405.5488586425781,48.33245468139648,34.63254165649414,141.09413146972656,4280.7001953125,14360.3896484375,15.619999885559082,-0.0012290261780703027,0.003551958580243486,0.00526822993694509,0.012058017427255763,-0.0011688817557444775,0.0033305973193167304,-0.0006486082548177174,-0.021916116193956947
117,2021-06-28,0.0269157224837559,0.2378741623640557,0.0498569207891671,0.2846338443024916,345.8273620605469,406.366455078125,46.6992301940918,34.379337310791016,142.57081604003906,4290.60986328125,14500.509765625,15.760000228881836,0.012161582920764635,0.002016024501421354,-0.033791465756720984,-0.007311168444249727,0.010465953154326302,0.0023149642620619026,0.009757403567579814,0.008962890163154658
118,2021-06-29,0.039027172227477,0.2759601310239553,0.0269157224837559,0.2378741623640557,347.078857421875,406.5851135253906,46.47215270996094,34.25741958618164,143.61033630371094,4291.7998046875,14528.330078125,16.020000457763672,0.003618844251858322,0.0005380819320424113,-0.004862553048242457,-0.0035462499904297395,0.007291255619803261,0.00027733619326086867,0.0019185747914842732,0.01649747621230091
